DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.838,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17852621,-0.2879,0.0642,9.8597,-0.1648,0.4216,-0.3323
17852788,-0.2822,0.0596,9.8560,-0.1739,0.3096,-0.2923
17852955,-0.2813,0.0720,9.8634,-0.1329,0.3293,-0.4262
17853121,-0.2810,0.0749,9.8597,-0.1483,0.3525,-0.3771
17853288,-0.2804,0.0795,9.8569,-0.1714,0.3800,-0.3133
17853455,-0.2741,0.0708,9.8664,-0.2407,0.2926,-0.2877
17853621,-0.2878,0.0769,9.8654,-0.1992,0.3019,-0.3383
17853788,-0.2881,0.0695,9.8613,-0.1969,0.2734,-0.3939
17853955,-0.2749,0.0698,9.8507,-0.2823,0.3322,-0.3016
17854121,-0.2878,0.0733,9.8663,-0.2024,0.4018,-0.3195
17854288,-0.2865,0.0827,9.8555,-0.1943,0.3749,-0.3893
17854455,-0.2821,0.0822,9.8568,-0.1973,0.3468,-0.3773
17854621,-0.2753,0.0772,9.8526,-0.1677,0.3526,-0.3571
17854788,-0.2787,0.0774,9.8570,-0.2100,0.3365,-0.4147
17854955,-0.2852,0.0715,9.8513,-0.2081,0.3245,-0.3427
17855121,-0.2860,0.0639,9.8581,-0.1919,0.3129,-0.2910
17855288,-0.2713,0.0771,9.8723,-0.2028,0.3888,-0.3817
17855455,-0.2861,0.0815,9.8583,-0.2215,0.3486,-0.3072
17855621,-0.2845,0.0743,9.8467,-0.1960,0.2765,-0.3321
17855788,-0.2843,0.0793,9.8483,-0.2093,0.3457,-0.3333
17855955,-0.2808,0.0830,9.8809,-0.1736,0.2966,-0.3596
17856121,-0.2893,0.0796,9.8478,-0.2067,0.3909,-0.3283
17856288,-0.2894,0.0811,9.8681,-0.2258,0.3617,-0.4235
17856455,-0.2832,0.0855,9.8593,-0.1628,0.3246,-0.3533
17856621,-0.2903,0.0742,9.8532,-0.1469,0.3317,-0.3083
17856788,-0.2815,0.0682,9.8483,-0.0903,0.3709,-0.4039
17856955,-0.2861,0.0810,9.8539,-0.2049,0.3066,-0.3029
17857121,-0.2922,0.0722,9.8645,-0.1936,0.3825,-0.3810
17857288,-0.2837,0.0748,9.8467,-0.2519,0.4319,-0.3130
17857455,-0.2849,0.0759,9.8474,-0.2590,0.4021,-0.3219
17857621,-0.2811,0.0873,9.8552,-0.1470,0.3604,-0.3877
17857788,-0.2863,0.0746,9.8518,-0.1802,0.3769,-0.4005
17857955,-0.2847,0.0809,9.8544,-0.2726,0.3515,-0.3630
17858121,-0.2904,0.0752,9.8627,-0.1689,0.4007,-0.3439
17858288,-0.2798,0.0810,9.8505,-0.2463,0.3373,-0.4064
17858455,-0.2869,0.0743,9.8711,-0.1823,0.3063,-0.3336
17858621,-0.2854,0.0642,9.8587,-0.1675,0.3702,-0.3615
17858788,-0.2850,0.0629,9.8454,-0.2088,0.3900,-0.2928
17858955,-0.2802,0.0660,9.8572,-0.2078,0.3075,-0.3488
17859121,-0.2834,0.0906,9.8430,-0.1906,0.3790,-0.3442
17859288,-0.2902,0.0762,9.8482,-0.2480,0.3634,-0.3345
17859455,-0.2920,0.0693,9.8548,-0.2441,0.4274,-0.3492
17859621,-0.2882,0.0787,9.8600,-0.1309,0.4166,-0.3021
17859788,-0.2826,0.0787,9.8687,-0.1823,0.3892,-0.3190
17859955,-0.2869,0.0694,9.8544,-0.2211,0.3678,-0.3281
17860122,-0.2896,0.0745,9.8438,-0.2395,0.3957,-0.2478
17860288,-0.2807,0.0782,9.8624,-0.2230,0.3257,-0.3924
17860455,-0.2871,0.0818,9.8594,-0.1812,0.3270,-0.3983
17860622,-0.2908,0.0648,9.8668,-0.2314,0.3664,-0.3108
17860788,-0.2865,0.0685,9.8480,-0.2382,0.3286,-0.3823
17860955,-0.2827,0.0728,9.8524,-0.0842,0.3789,-0.3174
17861122,-0.2876,0.0752,9.8476,-0.1737,0.3515,-0.3091
17861288,-0.2959,0.0771,9.8544,-0.2643,0.2869,-0.3681
17861455,-0.2971,0.0695,9.8528,-0.2731,0.3320,-0.3827
17861622,-0.2900,0.0750,9.8694,-0.1513,0.3267,-0.3382
17861788,-0.2820,0.0814,9.8594,-0.1967,0.3754,-0.3266
17861955,-0.2803,0.0723,9.8566,-0.2039,0.3346,-0.3431
17862122,-0.2835,0.0862,9.8510,-0.2528,0.3868,-0.3035
17862288,-0.2901,0.0762,9.8532,-0.1938,0.3216,-0.3706
17862455,-0.2921,0.0884,9.8555,-0.1440,0.3441,-0.3481
17862622,-0.2830,0.0633,9.8587,-0.1509,0.3228,-0.3046
17862788,-0.2821,0.0740,9.8450,-0.1784,0.3434,-0.4188
17862955,-0.2786,0.0745,9.8483,-0.1936,0.3529,-0.3524
17863122,-0.2766,0.0699,9.8576,-0.2209,0.3532,-0.2915
17863288,-0.2853,0.0835,9.8606,-0.2081,0.3327,-0.3474
17863455,-0.2871,0.0852,9.8620,-0.2352,0.4277,-0.3511
17863622,-0.2954,0.0741,9.8545,-0.2757,0.3835,-0.2799
17863788,-0.2883,0.0882,9.8623,-0.2461,0.3289,-0.3368
17863955,-0.2912,0.0779,9.8573,-0.2243,0.3801,-0.3346
17864122,-0.2898,0.0710,9.8698,-0.1048,0.3595,-0.3649
17864288,-0.2912,0.0889,9.8585,-0.2142,0.3469,-0.3869
17864455,-0.2969,0.0774,9.8561,-0.2118,0.3213,-0.3477
17864622,-0.2903,0.0821,9.8733,-0.1029,0.3170,-0.3320
17864788,-0.2758,0.0701,9.8628,-0.1533,0.3606,-0.3244
17864955,-0.2874,0.0782,9.8611,-0.2482,0.3836,-0.3356
17865122,-0.2928,0.0794,9.8571,-0.1960,0.3605,-0.4313
17865288,-0.2981,0.0672,9.8483,-0.1921,0.3698,-0.3313
17865455,-0.2874,0.0900,9.8645,-0.2832,0.3783,-0.2877
17865622,-0.2749,0.0735,9.8626,-0.1431,0.3054,-0.3400
17865788,-0.2868,0.0754,9.8518,-0.2476,0.3889,-0.3177
17865955,-0.2806,0.0819,9.8629,-0.1605,0.3100,-0.3762
17866122,-0.2920,0.0814,9.8756,-0.1867,0.4021,-0.2970
17866288,-0.2903,0.0746,9.8597,-0.1781,0.3606,-0.3282
17866455,-0.2838,0.0834,9.8565,-0.1936,0.3745,-0.2783
17866622,-0.2881,0.0723,9.8595,-0.1812,0.3365,-0.3648
17866788,-0.2837,0.0902,9.8588,-0.2393,0.4162,-0.4270
