DeviceTag: XsensDOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.622,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17859458,-0.0747,-0.0433,9.8149,-0.4399,0.0890,-0.1807
17859625,-0.0718,-0.0495,9.8136,-0.3860,0.0136,-0.1417
17859792,-0.0662,-0.0522,9.8126,-0.4343,0.0975,-0.1707
17859958,-0.0870,-0.0434,9.8020,-0.4719,0.1271,-0.1751
17860125,-0.0689,-0.0384,9.7931,-0.3827,0.0371,-0.2209
17860292,-0.0857,-0.0438,9.8120,-0.4321,0.0069,-0.1075
17860458,-0.0734,-0.0699,9.7915,-0.4357,0.0581,-0.1152
17860625,-0.0697,-0.0655,9.8143,-0.3790,0.0543,-0.1503
17860792,-0.0795,-0.0456,9.7971,-0.3847,0.0957,-0.1741
17860958,-0.0687,-0.0523,9.8082,-0.4494,0.0507,-0.1393
17861125,-0.0847,-0.0586,9.8049,-0.5065,0.0252,-0.1182
17861292,-0.0749,-0.0531,9.8113,-0.4048,0.0695,-0.1237
17861458,-0.0943,-0.0344,9.8050,-0.3800,-0.0258,-0.1719
17861625,-0.0650,-0.0543,9.8096,-0.3540,0.0010,-0.1640
17861792,-0.0786,-0.0568,9.7988,-0.4386,0.0370,-0.1396
17861958,-0.0898,-0.0394,9.8099,-0.5081,0.0532,-0.2318
17862125,-0.0835,-0.0517,9.8114,-0.4728,0.0391,-0.0929
17862292,-0.0770,-0.0472,9.8049,-0.5093,0.0667,-0.1828
17862458,-0.0943,-0.0368,9.8196,-0.4224,0.0999,-0.1483
17862625,-0.0827,-0.0567,9.8148,-0.4775,0.1182,-0.1466
17862792,-0.0748,-0.0248,9.7996,-0.4271,0.0451,-0.1266
17862958,-0.0737,-0.0586,9.8099,-0.4284,0.0393,-0.1632
17863125,-0.0689,-0.0453,9.8127,-0.4330,0.0614,-0.1431
17863292,-0.0913,-0.0447,9.7985,-0.4376,-0.0022,-0.1798
17863458,-0.0852,-0.0483,9.7939,-0.3791,0.0279,-0.2427
17863625,-0.0880,-0.0586,9.7972,-0.3817,0.0876,-0.0635
17863792,-0.0763,-0.0515,9.8030,-0.4028,0.0709,-0.1012
17863958,-0.0808,-0.0438,9.8117,-0.4505,0.0843,-0.1546
17864125,-0.0822,-0.0559,9.7992,-0.4423,0.0909,-0.1857
17864292,-0.0837,-0.0511,9.8302,-0.5103,0.0364,-0.1811
17864458,-0.0809,-0.0448,9.8079,-0.4618,0.0205,-0.1535
