DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:56.029,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17849752,-0.1203,-0.0987,9.8318,-0.3893,-0.0874,-0.5490
17849919,-0.1229,-0.0943,9.8308,-0.4187,-0.0899,-0.5258
17850086,-0.1324,-0.0991,9.8218,-0.3645,-0.1849,-0.5047
17850252,-0.1285,-0.0998,9.8268,-0.3567,-0.1607,-0.5551
17850419,-0.1092,-0.1077,9.8386,-0.4203,-0.0852,-0.4491
17850586,-0.1247,-0.0889,9.8323,-0.4783,-0.1108,-0.5074
17850753,-0.1168,-0.0947,9.8448,-0.3738,-0.1442,-0.5397
17850919,-0.1103,-0.0920,9.8322,-0.3953,-0.1358,-0.4751
17851086,-0.1246,-0.0934,9.8266,-0.3834,-0.1483,-0.5001
17851253,-0.1180,-0.1001,9.8470,-0.3935,-0.1884,-0.5749
17851419,-0.1231,-0.0876,9.8262,-0.3646,-0.1529,-0.5166
17851586,-0.1267,-0.0852,9.8349,-0.4235,-0.1071,-0.5029
17851753,-0.1158,-0.0891,9.8250,-0.4264,-0.1555,-0.5072
17851919,-0.1194,-0.0980,9.8303,-0.4191,-0.1342,-0.4659
17852086,-0.1225,-0.0943,9.8395,-0.3873,-0.0640,-0.5171
17852253,-0.1216,-0.0915,9.8321,-0.3767,-0.1546,-0.5464
17852419,-0.1199,-0.0827,9.8454,-0.4202,-0.1791,-0.6317
17852586,-0.1409,-0.0934,9.8264,-0.4566,-0.2127,-0.4642
17852753,-0.1267,-0.0885,9.8320,-0.3881,-0.1791,-0.5129
17852919,-0.1187,-0.1061,9.8302,-0.4570,-0.1574,-0.5061
17853086,-0.1116,-0.0930,9.8453,-0.4911,-0.1095,-0.5074
17853253,-0.1288,-0.1054,9.8296,-0.3523,-0.0678,-0.5265
17853419,-0.1390,-0.1036,9.8351,-0.4453,-0.1291,-0.5225
17853586,-0.1262,-0.1031,9.8209,-0.3847,-0.1360,-0.5157
17853753,-0.1267,-0.0917,9.8379,-0.3911,-0.1268,-0.4804
17853919,-0.1361,-0.0931,9.8378,-0.3226,-0.2061,-0.5408
17854086,-0.1379,-0.0915,9.8463,-0.4556,-0.1475,-0.4964
17854253,-0.1272,-0.1022,9.8132,-0.3902,-0.1655,-0.5536
17854419,-0.1239,-0.0880,9.8354,-0.4354,-0.1676,-0.5113
17854586,-0.1199,-0.1007,9.8313,-0.4353,-0.1653,-0.5236
17854753,-0.1308,-0.0955,9.8279,-0.3873,-0.1342,-0.5088
17854919,-0.1215,-0.0889,9.8337,-0.4235,-0.1696,-0.5959
17855086,-0.1223,-0.1017,9.8218,-0.3983,-0.1761,-0.5961
17855253,-0.1290,-0.1111,9.8392,-0.3744,-0.0981,-0.5456
17855419,-0.1359,-0.0992,9.8245,-0.3762,-0.1047,-0.5045
17855586,-0.1287,-0.0997,9.8362,-0.4429,-0.1221,-0.5403
17855753,-0.1263,-0.0984,9.8326,-0.3564,-0.1903,-0.5639
17855919,-0.1334,-0.1105,9.8453,-0.3692,-0.1692,-0.5622
17856086,-0.1210,-0.1086,9.8320,-0.4081,-0.1975,-0.4899
17856253,-0.1225,-0.0944,9.8438,-0.4330,-0.1258,-0.5367
17856419,-0.1211,-0.0972,9.8253,-0.3796,-0.1898,-0.5007
17856586,-0.1185,-0.0918,9.8427,-0.4363,-0.1646,-0.5589
17856753,-0.1227,-0.0981,9.8298,-0.3831,-0.1268,-0.4927
17856919,-0.1210,-0.1058,9.8229,-0.3949,-0.1428,-0.5456
17857086,-0.1190,-0.1038,9.8343,-0.4998,-0.1674,-0.5430
17857253,-0.1225,-0.1060,9.8255,-0.4026,-0.1933,-0.5273
17857419,-0.1221,-0.0979,9.8189,-0.3948,-0.0851,-0.5206
17857586,-0.1194,-0.1014,9.8425,-0.3746,-0.1477,-0.4972
17857753,-0.1161,-0.0981,9.8244,-0.3476,-0.1183,-0.5093
17857919,-0.1290,-0.0963,9.8258,-0.3300,-0.1303,-0.5559
