DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.933,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17853781,-0.2463,-0.0696,9.8509,-0.1409,-0.1489,0.0029
17853948,-0.2461,-0.0620,9.8635,-0.2156,-0.1856,-0.0535
17854115,-0.2297,-0.0587,9.8495,-0.1426,-0.1639,-0.0464
17854281,-0.2435,-0.0624,9.8495,-0.0979,-0.1518,-0.0352
17854448,-0.2298,-0.0530,9.8668,-0.1851,-0.1485,-0.0378
17854615,-0.2335,-0.0580,9.8512,-0.2309,-0.1951,-0.0300
17854781,-0.2219,-0.0442,9.8503,-0.1002,-0.1428,-0.0740
17854948,-0.2236,-0.0619,9.8467,-0.1676,-0.1610,-0.0763
17855115,-0.2375,-0.0635,9.8557,-0.2076,-0.1502,-0.0188
17855281,-0.2297,-0.0500,9.8564,-0.0996,-0.1650,-0.0484
17855448,-0.2333,-0.0577,9.8597,-0.2486,-0.1604,-0.0145
17855615,-0.2413,-0.0716,9.8612,-0.1668,-0.1204,-0.1314
17855781,-0.2273,-0.0459,9.8605,-0.1915,-0.1583,-0.0911
17855948,-0.2187,-0.0503,9.8499,-0.1663,-0.1588,-0.0641
17856115,-0.2454,-0.0628,9.8554,-0.1702,-0.1214,-0.0554
17856281,-0.2352,-0.0575,9.8509,-0.1023,-0.1711,-0.0734
17856448,-0.2401,-0.0554,9.8524,-0.1874,-0.0940,-0.0430
17856615,-0.2279,-0.0578,9.8432,-0.2049,-0.1936,-0.0852
17856781,-0.2351,-0.0571,9.8576,-0.1553,-0.1530,-0.0327
17856948,-0.2285,-0.0538,9.8486,-0.1937,-0.1611,-0.1335
17857115,-0.2357,-0.0705,9.8486,-0.2508,-0.1734,-0.0749
17857281,-0.2315,-0.0601,9.8467,-0.1554,-0.2018,-0.0643
17857448,-0.2416,-0.0574,9.8572,-0.1724,-0.1229,-0.0147
17857615,-0.2319,-0.0597,9.8521,-0.1659,-0.0824,-0.0436
17857781,-0.2318,-0.0708,9.8605,-0.2095,-0.1674,-0.1404
17857948,-0.2405,-0.0625,9.8515,-0.1456,-0.1231,-0.1077
17858115,-0.2255,-0.0657,9.8517,-0.1104,-0.1889,-0.0723
17858281,-0.2362,-0.0522,9.8586,-0.1516,-0.1016,0.0281
17858448,-0.2437,-0.0636,9.8339,-0.1663,-0.1281,-0.0005
17858615,-0.2393,-0.0750,9.8549,-0.1119,-0.0723,-0.1030
17858781,-0.2512,-0.0506,9.8429,-0.2071,-0.1198,-0.0555
17858948,-0.2305,-0.0530,9.8464,-0.1233,-0.1379,-0.0331
17859115,-0.2317,-0.0416,9.8537,-0.2921,-0.0907,-0.0452
17859282,-0.2324,-0.0564,9.8653,-0.1381,-0.0517,-0.0919
17859448,-0.2373,-0.0613,9.8504,-0.2098,-0.1475,-0.0163
17859615,-0.2263,-0.0514,9.8497,-0.1257,-0.0999,0.0023
17859782,-0.2387,-0.0569,9.8609,-0.2768,-0.1879,0.0276
17859948,-0.2256,-0.0575,9.8503,-0.1307,-0.1478,-0.0688
17860115,-0.2301,-0.0553,9.8576,-0.1352,-0.1063,-0.0018
17860282,-0.2374,-0.0663,9.8513,-0.1128,-0.1966,-0.0741
17860448,-0.2285,-0.0522,9.8614,-0.1187,-0.1716,-0.0403
17860615,-0.2271,-0.0571,9.8590,-0.2073,-0.1312,-0.0657
17860782,-0.2249,-0.0574,9.8572,-0.2117,-0.1319,-0.0994
17860948,-0.2235,-0.0667,9.8468,-0.1017,-0.1033,-0.0799
17861115,-0.2270,-0.0543,9.8465,-0.1343,-0.1125,-0.0527
17861282,-0.2424,-0.0620,9.8494,-0.1116,-0.1045,-0.0546
17861448,-0.2370,-0.0654,9.8519,-0.1301,-0.1451,-0.0495
17861615,-0.2320,-0.0650,9.8525,-0.2123,-0.1460,-0.0359
17861782,-0.2301,-0.0596,9.8531,-0.1753,-0.1882,-0.1017
17861948,-0.2326,-0.0695,9.8539,-0.1018,-0.1311,-0.0618
17862115,-0.2264,-0.0567,9.8698,-0.1143,-0.1179,-0.0770
17862282,-0.2462,-0.0755,9.8570,-0.0666,-0.1515,-0.0698
17862448,-0.2342,-0.0535,9.8454,-0.1330,-0.0792,-0.1064
17862615,-0.2231,-0.0523,9.8452,-0.1781,-0.1415,0.0742
17862782,-0.2228,-0.0556,9.8526,-0.1974,-0.1259,-0.0326
17862948,-0.2301,-0.0526,9.8578,-0.2152,-0.1654,-0.1106
17863115,-0.2234,-0.0593,9.8500,-0.2448,-0.1473,-0.0587
17863282,-0.2351,-0.0538,9.8521,-0.1381,-0.2158,-0.0155
17863448,-0.2396,-0.0560,9.8506,-0.2247,-0.1719,-0.0436
17863615,-0.2419,-0.0522,9.8567,-0.1420,-0.1111,-0.1205
17863782,-0.2435,-0.0680,9.8590,-0.1251,-0.1700,0.0073
17863948,-0.2390,-0.0624,9.8444,-0.2173,-0.1925,-0.0247
17864115,-0.2212,-0.0618,9.8508,-0.1349,-0.1960,-0.0389
17864282,-0.2425,-0.0663,9.8584,-0.1314,-0.0867,-0.0607
17864448,-0.2278,-0.0474,9.8721,-0.1269,-0.2168,-0.0479
17864615,-0.2436,-0.0519,9.8371,-0.1154,-0.2146,-0.1491
17864782,-0.2170,-0.0692,9.8596,-0.1742,-0.1470,-0.0544
17864948,-0.2312,-0.0605,9.8593,-0.2103,-0.1334,-0.0228
17865115,-0.2400,-0.0613,9.8450,-0.1335,-0.1424,-0.0815
17865282,-0.2358,-0.0518,9.8540,-0.1697,-0.1538,-0.0024
17865448,-0.2316,-0.0609,9.8477,-0.0615,-0.1403,-0.0612
17865615,-0.2442,-0.0666,9.8590,-0.1696,-0.1853,-0.0978
17865782,-0.2449,-0.0511,9.8508,-0.1374,-0.1216,-0.0292
17865948,-0.2291,-0.0542,9.8598,-0.0981,-0.1493,-0.0586
17866115,-0.2241,-0.0727,9.8592,-0.0972,-0.1491,-0.0991
17866282,-0.2221,-0.0557,9.8547,-0.1398,-0.2059,-0.0102
17866448,-0.2457,-0.0672,9.8606,-0.1713,-0.1819,-0.0493
17866615,-0.2350,-0.0697,9.8515,-0.0750,-0.1868,-0.1105
17866782,-0.2240,-0.0617,9.8464,-0.2005,-0.1131,-0.0361
17866948,-0.2217,-0.0638,9.8477,-0.2109,-0.1270,-0.0443
17867115,-0.2404,-0.0503,9.8596,-0.1008,-0.2204,-0.0448
17867282,-0.2427,-0.0576,9.8537,-0.1894,-0.1591,0.0417
17867448,-0.2352,-0.0520,9.8557,-0.1882,-0.0679,-0.0214
17867615,-0.2481,-0.0614,9.8446,-0.1761,-0.1493,-0.0304
17867782,-0.2340,-0.0524,9.8547,-0.1429,-0.1572,-0.0957
17867948,-0.2197,-0.0486,9.8492,-0.1854,-0.1673,-0.0250
17868115,-0.2481,-0.0608,9.8487,-0.1272,-0.1260,0.0015
17868282,-0.2486,-0.0508,9.8538,-0.2057,-0.1178,-0.0166
17868448,-0.2290,-0.0614,9.8456,-0.0954,-0.1477,-0.0960
17868615,-0.2221,-0.0572,9.8402,-0.0932,-0.0950,0.0082
17868782,-0.2265,-0.0614,9.8595,-0.2186,-0.1802,-0.0197
17868948,-0.2337,-0.0580,9.8553,-0.1929,-0.1561,-0.1494
17869115,-0.2313,-0.0593,9.8568,-0.2117,-0.1281,-0.0378
17869282,-0.2231,-0.0579,9.8428,-0.1527,-0.0952,-0.0421
17869448,-0.2240,-0.0549,9.8581,-0.1663,-0.1101,-0.0138
17869615,-0.2336,-0.0648,9.8524,-0.1534,-0.1476,-0.0037
17869782,-0.2340,-0.0664,9.8442,-0.1289,-0.1728,-0.0686
17869948,-0.2272,-0.0569,9.8552,-0.1425,-0.1471,-0.1173
17870115,-0.2284,-0.0508,9.8527,-0.1805,-0.0763,-0.0367
17870282,-0.2311,-0.0415,9.8434,-0.1483,-0.1776,0.0232
17870448,-0.2364,-0.0614,9.8496,-0.1624,-0.2067,-0.0739
17870615,-0.2300,-0.0628,9.8554,-0.1792,-0.1513,-0.1005
17870782,-0.2327,-0.0617,9.8449,-0.1017,-0.1346,-0.0135
17870948,-0.2382,-0.0563,9.8512,-0.0984,-0.1899,-0.0601
17871115,-0.2290,-0.0470,9.8539,-0.1900,-0.1413,-0.0521
17871282,-0.2294,-0.0507,9.8553,-0.1786,-0.0963,-0.0715
17871448,-0.2316,-0.0556,9.8685,-0.1376,-0.1184,0.0527
17871615,-0.2320,-0.0663,9.8597,-0.1575,-0.1788,-0.0392
17871782,-0.2293,-0.0497,9.8457,-0.1363,-0.1577,-0.1570
17871948,-0.2429,-0.0468,9.8525,-0.1902,-0.1745,-0.0511
17872115,-0.2295,-0.0623,9.8590,-0.2188,-0.1214,-0.0472
17872282,-0.2369,-0.0525,9.8569,-0.1691,-0.0675,-0.0796
17872448,-0.2454,-0.0530,9.8485,-0.2066,-0.1424,-0.0874
17872615,-0.2294,-0.0681,9.8605,-0.1650,-0.1396,0.0148
17872782,-0.2293,-0.0627,9.8527,-0.1709,-0.1407,-0.0258
17872948,-0.2355,-0.0630,9.8566,-0.1553,-0.0959,-0.0354
17873115,-0.2312,-0.0666,9.8425,-0.1763,-0.1787,-0.0312
17873282,-0.2415,-0.0671,9.8513,-0.1289,-0.1387,0.0532
17873448,-0.2305,-0.0578,9.8510,-0.1456,-0.1926,-0.0714
17873615,-0.2364,-0.0590,9.8508,-0.1373,-0.1440,-0.1021
17873782,-0.2245,-0.0507,9.8574,-0.1578,-0.2463,-0.0854
17873948,-0.2387,-0.0636,9.8354,-0.1255,-0.1807,-0.0144
17874115,-0.2338,-0.0567,9.8586,-0.1339,-0.1730,-0.0702
17874282,-0.2355,-0.0552,9.8527,-0.1462,-0.2035,-0.1227
17874448,-0.2292,-0.0546,9.8602,-0.1432,-0.1269,-0.0630
17874615,-0.2359,-0.0596,9.8356,-0.1763,-0.1878,-0.1018
17874782,-0.2402,-0.0671,9.8677,-0.1609,-0.1461,-0.0259
17874948,-0.2361,-0.0506,9.8574,-0.1461,-0.1221,-0.0504
17875115,-0.2281,-0.0518,9.8549,-0.1695,-0.1293,0.0231
17875282,-0.2390,-0.0589,9.8483,-0.1567,-0.1783,-0.0970
17875448,-0.2266,-0.0536,9.8568,-0.1398,-0.1681,-0.1268
17875615,-0.2247,-0.0616,9.8610,-0.1803,-0.1950,-0.0078
17875782,-0.2299,-0.0610,9.8547,-0.1201,-0.2098,0.0607
17875949,-0.2429,-0.0502,9.8572,-0.1292,-0.1560,-0.0940
17876115,-0.2383,-0.0637,9.8548,-0.1406,-0.1892,-0.0811
17876282,-0.2213,-0.0692,9.8610,-0.1222,-0.1901,-0.0548
17876449,-0.2482,-0.0701,9.8564,-0.2006,-0.1470,-0.0886
17876615,-0.2339,-0.0576,9.8675,-0.1696,-0.1786,-0.0967
17876782,-0.2170,-0.0595,9.8547,-0.1607,-0.1040,-0.0751
17876949,-0.2330,-0.0465,9.8576,-0.0656,-0.1357,-0.0339
17877115,-0.2369,-0.0668,9.8637,-0.1831,-0.1469,-0.0838
17877282,-0.2315,-0.0600,9.8534,-0.1923,-0.1471,-0.0791
17877449,-0.2478,-0.0643,9.8496,-0.0950,-0.1468,-0.0724
17877615,-0.2376,-0.0549,9.8603,-0.1670,-0.1516,-0.0315
17877782,-0.2232,-0.0630,9.8487,-0.1227,-0.1517,-0.0187
17877949,-0.2558,-0.0610,9.8465,-0.1001,-0.1644,-0.0450
17878115,-0.2366,-0.0514,9.8675,-0.1329,-0.1770,-0.0341
17878282,-0.2372,-0.0551,9.8536,-0.2365,-0.1090,-0.0934
17878449,-0.2295,-0.0590,9.8533,-0.1478,-0.1167,-0.0610
17878615,-0.2413,-0.0655,9.8526,-0.1016,-0.1452,-0.1148
17878782,-0.2386,-0.0589,9.8501,-0.1725,-0.1944,-0.0618
17878949,-0.2341,-0.0603,9.8420,-0.1409,-0.1541,-0.0845
17879115,-0.2282,-0.0662,9.8391,-0.1736,-0.1237,-0.0744
17879282,-0.2244,-0.0634,9.8634,-0.1951,-0.2065,-0.0477
17879449,-0.2471,-0.0599,9.8490,-0.1925,-0.2248,-0.0401
17879615,-0.2383,-0.0804,9.8563,-0.1424,-0.1624,-0.0371
17879782,-0.2260,-0.0638,9.8567,-0.1570,-0.1678,-0.0569
17879949,-0.2288,-0.0777,9.8494,-0.2087,-0.1769,-0.0224
17880115,-0.2362,-0.0701,9.8604,-0.2114,-0.1288,-0.1247
17880282,-0.2338,-0.0598,9.8521,-0.1572,-0.1244,-0.0268
17880449,-0.2378,-0.0685,9.8626,-0.1473,-0.1187,-0.0357
17880615,-0.2433,-0.0780,9.8583,-0.1378,-0.1630,-0.0525
17880782,-0.2461,-0.0539,9.8509,-0.1993,-0.1502,-0.0292
17880949,-0.2249,-0.0621,9.8461,-0.1660,-0.1470,-0.0286
17881115,-0.2330,-0.0537,9.8570,-0.1790,-0.1982,-0.1298
17881282,-0.2288,-0.0647,9.8460,-0.2019,-0.1644,0.0269
17881449,-0.2342,-0.0725,9.8613,-0.1914,-0.2577,-0.1224
17881615,-0.2181,-0.0621,9.8575,-0.2010,-0.1402,-0.0345
17881782,-0.2405,-0.0677,9.8401,-0.1575,-0.1686,-0.0231
17881949,-0.2350,-0.0516,9.8495,-0.2210,-0.1552,-0.0919
17882115,-0.2261,-0.0496,9.8637,-0.2110,-0.1659,-0.0865
17882282,-0.2194,-0.0670,9.8452,-0.1923,-0.1589,-0.0483
17882449,-0.2318,-0.0691,9.8552,-0.1505,-0.1940,-0.0347
17882615,-0.2160,-0.0603,9.8495,-0.1389,-0.2263,-0.0615
17882782,-0.2333,-0.0628,9.8473,-0.1538,-0.1614,-0.0622
17882949,-0.2387,-0.0493,9.8549,-0.2566,-0.1537,-0.1244
17883115,-0.2490,-0.0696,9.8663,-0.1424,-0.2059,-0.0816
17883282,-0.2355,-0.0578,9.8494,-0.1313,-0.1335,0.0124
17883449,-0.2354,-0.0557,9.8501,-0.1889,-0.1208,-0.1616
17883615,-0.2355,-0.0541,9.8541,-0.2126,-0.1921,-0.0104
17883782,-0.2355,-0.0654,9.8443,-0.1330,-0.1799,-0.0517
17883949,-0.2409,-0.0447,9.8605,-0.1475,-0.1591,-0.0962
17884115,-0.2393,-0.0525,9.8542,-0.1293,-0.1812,-0.0744
17884282,-0.2461,-0.0628,9.8646,-0.1165,-0.1527,-0.0738
17884449,-0.2276,-0.0558,9.8637,-0.2022,-0.1863,-0.0982
17884615,-0.2316,-0.0728,9.8529,-0.1868,-0.1737,-0.0697
17884782,-0.2308,-0.0670,9.8526,-0.1849,-0.1936,-0.0022
17884949,-0.2319,-0.0679,9.8581,-0.1396,-0.1365,-0.0251
17885115,-0.2338,-0.0608,9.8552,-0.1958,-0.1833,-0.0612
17885282,-0.2449,-0.0576,9.8472,-0.1824,-0.1681,-0.0613
17885449,-0.2348,-0.0425,9.8575,-0.0866,-0.1177,-0.0380
